Aop:1	Event:142	KeyEvent	Hyperplasia, Hyperplasia
Aop:1	Event:334	AdverseOutcome	Promotion, Hepatocelluar carcinoma
Aop:1	Event:57	KeyEvent	Proliferation, Cell proliferation in the absence of cytotoxicity
Aop:1	Event:294	MolecularInitiatingEvent	N/A, Unknown
Aop:3	Event:887	KeyEvent	Inhibition, NADH-ubiquinone oxidoreductase  (complex I)
Aop:3	Event:888	MolecularInitiatingEvent	Binding of inhibitor, NADH-ubiquinone oxidoreductase (complex I)
Aop:3	Event:177	KeyEvent	N/A, Mitochondrial dysfunction 1
Aop:3	Event:889	KeyEvent	Impaired, Proteostasis
Aop:3	Event:188	KeyEvent	Neuroinflammation
Aop:3	Event:890	KeyEvent	Degeneration of dopaminergic neurons of the nigrostriatal pathway
Aop:3	Event:896	AdverseOutcome	Parkinsonian motor deficits
Aop:4	Event:103	MolecularInitiatingEvent	Increase, Ecdysone receptor agonism
Aop:4	Event:988	KeyEvent	Decrease, Circulating ecdysis triggering hormone
Aop:4	Event:990	KeyEvent	Increase, Incomplete ecdysis
Aop:4	Event:993	KeyEvent	Decrease, Abdominal muscle contraction
Aop:4	Event:1264	KeyEvent	Increase, Nuclear receptor E75b gene expression
Aop:4	Event:1265	KeyEvent	Increase, Fushi tarazu factor-1 gene expression
Aop:4	Event:1266	KeyEvent	Decrease, Circulating crustacean cardioactive peptide
Aop:4	Event:1267	KeyEvent	Decrease, Ecdysis motoneuron bursts
Aop:4	Event:1268	KeyEvent	Decrease, Excitatory postsynaptic potential
Aop:4	Event:350	KeyEvent	Increase, Mortality
Aop:6	Event:858	KeyEvent	Decreased, PPARalpha transactivation of gene expression
Aop:6	Event:861	KeyEvent	Decreased, Ketogenesis (production of ketone bodies)
Aop:6	Event:862	KeyEvent	Not Increased, Circulating Ketone Bodies
Aop:6	Event:864	AdverseOutcome	Decreased, Body Weight
Aop:6	Event:863	KeyEvent	Increased, Catabolism of Muscle Protein
Aop:6	Event:998	MolecularInitiatingEvent	Binding of antagonist, PPAR alpha
Aop:6	Event:1000	KeyEvent	stabilization, PPAR alpha co-repressor
Aop:6	Event:1528	KeyEvent	Fatty Acid Beta Oxidation, Decreased
Aop:7	Event:219	KeyEvent	Reduction, Plasma 17beta-estradiol concentrations
Aop:7	Event:3	KeyEvent	Reduction, 17beta-estradiol synthesis by ovarian granulosa cells
Aop:7	Event:406	AdverseOutcome	impaired, Fertility
Aop:7	Event:405	AdverseOutcome	irregularities, ovarian cycle
Aop:7	Event:408	MolecularInitiatingEvent	reduction in ovarian granulosa cells, Aromatase (Cyp19a1)
Aop:8	Event:239	MolecularInitiatingEvent	Activation, Pregnane-X receptor, NR1l2
Aop:8	Event:319	AdverseOutcome	Loss, Cochlear function
Aop:8	Event:280	KeyEvent	Thyroxine (T4) in neuronal tissue, Decreased 
Aop:8	Event:281	KeyEvent	 Thyroxine (T4) in serum, Decreased
Aop:8	Event:295	KeyEvent	Induction, Upregulation of glucuronyltransferase activity
Aop:8	Event:757	KeyEvent	Hippocampal anatomy, Altered 
Aop:8	Event:758	KeyEvent	Hippocampal Physiology, Altered
Aop:8	Event:756	KeyEvent	Hippocampal gene expression, Altered 
Aop:8	Event:961	KeyEvent	Increased, Clearance of thyroxine from serum
Aop:10	Event:64	KeyEvent	Reduction, Ionotropic GABA receptor chloride channel conductance
Aop:10	Event:616	KeyEvent	Occurrence, A paroxysmal depolarizing shift
Aop:10	Event:613	AdverseOutcome	Occurrence, Epileptic seizure
Aop:10	Event:667	MolecularInitiatingEvent	Binding at picrotoxin site, iGABAR chloride channel
Aop:10	Event:669	KeyEvent	Reduction, Neuronal synaptic inhibition
Aop:10	Event:682	KeyEvent	Generation, Amplified excitatory postsynaptic potential (EPSP)
Aop:11	Event:245	MolecularInitiatingEvent	Activation, PXR/SXR
Aop:12	Event:195	KeyEvent	Inhibition, NMDARs
Aop:12	Event:352	AdverseOutcome	N/A, Neurodegeneration
Aop:12	Event:52	KeyEvent	Decreased, Calcium influx
Aop:12	Event:201	MolecularInitiatingEvent	Binding of antagonist, NMDA receptors
Aop:12	Event:381	KeyEvent	Reduced levels of BDNF
Aop:12	Event:55	KeyEvent	Cell injury/death
Aop:12	Event:188	KeyEvent	Neuroinflammation
Aop:12	Event:341	AdverseOutcome	Impairment, Learning and memory
Aop:13	Event:201	MolecularInitiatingEvent	Binding of antagonist, NMDA receptors
Aop:13	Event:52	KeyEvent	Decreased, Calcium influx
Aop:13	Event:195	KeyEvent	Inhibition, NMDARs
Aop:13	Event:341	AdverseOutcome	Impairment, Learning and memory
Aop:13	Event:381	KeyEvent	Reduced levels of BDNF
Aop:13	Event:382	KeyEvent	Aberrant, Dendritic morphology
Aop:13	Event:385	KeyEvent	Decrease of synaptogenesis
Aop:13	Event:386	KeyEvent	Decrease of neuronal network function
Aop:13	Event:383	KeyEvent	Reduced, Presynaptic release of glutamate
Aop:13	Event:55	KeyEvent	Cell injury/death
Aop:14	Event:122	MolecularInitiatingEvent	Activation, Glucocorticoid Receptor
Aop:14	Event:202	KeyEvent	Inhibition, Nuclear factor kappa B (NF-kB)
Aop:14	Event:152	KeyEvent	Suppression, Inflammatory cytokines
Aop:14	Event:168	KeyEvent	Decreased, Lymphocytes
Aop:14	Event:145	KeyEvent	Induction, IKB inhibitory protein
Aop:14	Event:323	AdverseOutcome	Increased, Disease susceptibility
Aop:14	Event:403	KeyEvent	Suppression, Immune system
Aop:15	Event:336	AdverseOutcome	Increase, Heritable mutations in offspring
Aop:15	Event:97	MolecularInitiatingEvent	Alkylation, DNA
Aop:15	Event:185	KeyEvent	Increase, Mutations
Aop:15	Event:155	KeyEvent	Inadequate DNA repair
Aop:16	Event:351	AdverseOutcome	Increased Mortality
Aop:16	Event:12	MolecularInitiatingEvent	Acetylcholinesterase (AchE) Inhibition
Aop:16	Event:10	KeyEvent	Acetylcholine accumulation in synapses
Aop:16	Event:445	KeyEvent	Respiratory distress/arrest
Aop:16	Event:39	KeyEvent	Increased Cholinergic Signaling
Aop:16	Event:1703	KeyEvent	Dysregulation of heart rate and vascular tone
Aop:16	Event:360	AdverseOutcome	Decrease, Population growth rate
Aop:17	Event:1487	MolecularInitiatingEvent	Binding, Thiol/seleno-proteins involved in protection against oxidative stress
Aop:17	Event:1392	KeyEvent	Oxidative Stress 
Aop:17	Event:1488	KeyEvent	Glutamate dyshomeostasis
Aop:17	Event:55	KeyEvent	Cell injury/death
Aop:17	Event:188	KeyEvent	Neuroinflammation
Aop:17	Event:386	KeyEvent	Decrease of neuronal network function
Aop:17	Event:341	AdverseOutcome	Impairment, Learning and memory
Aop:17	Event:1492	KeyEvent	Tissue resident cell activation
Aop:17	Event:1493	KeyEvent	Increased Pro-inflammatory mediators
Aop:17	Event:1538	KeyEvent	Decreased protection against oxidative stress
Aop:18	Event:227	MolecularInitiatingEvent	Activation, PPARα
