Aop:1	Event:142	increased				MESH	D006965	hyperplasia
Aop:1	Event:334	increased				MESH	D006528	hepatocellular carcinoma
Aop:1	Event:57	increased				GO	GO:0008283	cell proliferation
Aop:3	Event:887	decreased	PR	PR:000031316	NADH-ubiquinone oxidoreductase chain 1	GO	GO:0008137	NADH dehydrogenase (ubiquinone) activity
Aop:3	Event:888	decreased	PR	PR:000031316	NADH-ubiquinone oxidoreductase chain 1	GO	GO:0006120	mitochondrial electron transport, NADH to ubiquinone
Aop:3	Event:177	functional change	GO	GO:0005739	mitochondrion			
Aop:3	Event:889	abnormal	CHEBI	CHEBI:36080	protein	MESH	D057165	Proteostasis deficiencies
Aop:3	Event:188	pathological	CL	CL:0000129	microglial cell	MP	MP:0001847	brain inflammation
Aop:3	Event:188	pathological	CL	CL:0000127	astrocyte	MP	MP:0001847	brain inflammation
Aop:3	Event:890	increased				MP	MP:0003244	loss of dopaminergic neurons
Aop:3	Event:896	occurrence	MESH	D020734	Parkinsonian disorders			
Aop:4	Event:103	increased	GO	GO:0008230	ecdysone receptor holocomplex	GO	GO:0035076	ecdysone receptor-mediated signaling pathway
Aop:4	Event:988	decreased				GO	GO:0008255	ecdysis-triggering hormone activity
Aop:4	Event:990	increased	CHEBI	CHEBI:17029	chitin	GO	GO:0006031	chitin biosynthetic process
Aop:4	Event:993	increased				GO	GO:0006936	muscle contraction
Aop:4	Event:1264	increased	MESH	C061375	Eip75B protein, Drosophila	GO	GO:0010467	gene expression
Aop:4	Event:1265	increased	PR	PR:P33244	nuclear hormone receptor FTZ-F1 (fruit fly)	GO	GO:0010467	gene expression
Aop:4	Event:1266	decreased	PR	PR:Q9VCW0	cardioactive peptide (fruit fly)	GO	GO:0002790	peptide secretion
Aop:4	Event:1267	decreased	CL	CL:0000100	motor neuron	GO	GO:0019226	transmission of nerve impulse
Aop:4	Event:1268	decreased				GO	GO:0060079	excitatory postsynaptic potential
Aop:4	Event:350	increased				MESH	D009026	mortality
Aop:6	Event:858	decreased	PR	PR:000013056	peroxisome proliferator-activated receptor alpha	GO	GO:0035624	receptor transactivation
Aop:6	Event:861	decreased				MESH	D007662	ketosis
Aop:6	Event:862	abnormal				MP	MP:0002118	abnormal lipid homeostasis
Aop:6	Event:862	abnormal	CHEBI	CHEBI:73693	ketone body			
Aop:6	Event:864	decreased				MP	MP:0001263	weight loss
Aop:6	Event:863	increased	MESH	D009124	muscle protein	GO	GO:0030163	protein catabolic process
Aop:6	Event:998	increased	PR	PR:000013056	peroxisome proliferator-activated receptor alpha	GO	GO:0048019	receptor antagonist activity
Aop:6	Event:1000	increased	PR	PR:000011048	nuclear receptor corepressor 2	GO	GO:0003714	transcription corepressor activity
Aop:6	Event:1000	increased	PR	PR:000011047	nuclear receptor corepressor 1	GO	GO:0003714	transcription corepressor activity
Aop:6	Event:1528	decreased				GO	GO:0006635	fatty acid beta-oxidation
Aop:7	Event:219	decreased	CHEBI	CHEBI:16469	17beta-estradiol			
Aop:7	Event:3	decreased	CHEBI	CHEBI:16469	17beta-estradiol	GO	GO:0006703	estrogen biosynthetic process
Aop:7	Event:406	decreased				MESH	D005298	fertility
Aop:7	Event:405	disrupted				GO	GO:0042698	ovulation cycle
Aop:7	Event:408	decreased	PR	PR:000006100	aromatase	GO	GO:0070330	aromatase activity
Aop:7	Event:408	decreased	PR	PR:000006100	aromatase	GO	GO:0009299	mRNA transcription
Aop:8	Event:239	increased	PR	PR:000011397	nuclear receptor subfamily 1 group I member 2	GO	GO:0023052	signaling
Aop:8	Event:239	increased	PR	PR:000011398	nuclear receptor subfamily 1 group I member 3	GO	GO:0023052	signaling
Aop:8	Event:319	increased				MP	MP:0000032	cochlear degeneration
Aop:8	Event:280	decreased	CHEBI	CHEBI:30660	thyroxine	GO	GO:0010817	regulation of hormone levels
Aop:8	Event:281	decreased	CHEBI	CHEBI:30660	thyroxine	MP	MP:0005475	abnormal circulating thyroxine level
Aop:8	Event:295	increased	PR	PR:000001325	beta-1,3-glucuronyltransferase	GO	GO:0015020	glucuronosyltransferase activity
Aop:8	Event:295	increased	PR	PR:000001325	beta-1,3-glucuronyltransferase	GO	GO:0003824	catalytic activity
Aop:8	Event:757	morphological change	UBERON	UBERON:0002421	hippocampal formation	GO	GO:0007420	brain development
Aop:8	Event:758	abnormal	GO	GO:0045202	synapse	GO	GO:0007268	chemical synaptic transmission
Aop:8	Event:756	abnormal	UBERON	UBERON:0002421	hippocampal formation	GO	GO:0010468	regulation of gene expression
Aop:8	Event:961	increased	CHEBI	CHEBI:30660	thyroxine	GO	GO:0008152	metabolic process
Aop:10	Event:64	decreased	CHEBI	CHEBI:17996	chloride	GO	GO:0022851	GABA-gated chloride ion channel activity
Aop:10	Event:616	occurrence				GO	GO:0051899	membrane depolarization
Aop:10	Event:613	occurrence				NBO	NBO:0000025	seizures
Aop:10	Event:667	increased	PR	PR:000007766	gamma-aminobutyric acid receptor subunit alpha-1	GO	GO:0050811	GABA receptor binding
Aop:10	Event:667	increased	PR	PR:000007770	gamma-aminobutyric acid receptor subunit alpha-5	GO	GO:0050811	GABA receptor binding
Aop:10	Event:667	increased	PR	PR:000007771	gamma-aminobutyric acid receptor subunit alpha-6	GO	GO:0050811	GABA receptor binding
Aop:10	Event:669	decreased				GO	GO:0007268	chemical synaptic transmission
Aop:10	Event:682	occurrence				GO	GO:0060079	excitatory postsynaptic potential
Aop:11	Event:245	increased	PR	PR:000011397	nuclear receptor subfamily 1 group I member 2	GO	GO:0023052	signaling
Aop:12	Event:195	decreased	GO	GO:0017146	NMDA selective glutamate receptor complex	GO	GO:0004972	NMDA glutamate receptor activity
Aop:12	Event:352	increased				MP	MP:0002229	neurodegeneration
Aop:12	Event:52	decreased	CHEBI	CHEBI:39124	calcium ion	GO	GO:0006816	calcium ion transport
Aop:12	Event:381	decreased	PR	PR:000004716	brain-derived neurotrophic factor	GO	GO:0010467	gene expression
Aop:12	Event:381	decreased	PR	PR:000004716	brain-derived neurotrophic factor	GO	GO:0046903	secretion
Aop:12	Event:55	increased				GO	GO:0008219	cell death
Aop:12	Event:188	pathological	CL	CL:0000129	microglial cell	MP	MP:0001847	brain inflammation
Aop:12	Event:188	pathological	CL	CL:0000127	astrocyte	MP	MP:0001847	brain inflammation
Aop:12	Event:341	decreased				GO	GO:0007612	learning
Aop:12	Event:341	decreased				GO	GO:0007613	memory
Aop:13	Event:52	decreased	CHEBI	CHEBI:39124	calcium ion	GO	GO:0006816	calcium ion transport
Aop:13	Event:195	decreased	GO	GO:0017146	NMDA selective glutamate receptor complex	GO	GO:0004972	NMDA glutamate receptor activity
Aop:13	Event:341	decreased				GO	GO:0007612	learning
Aop:13	Event:341	decreased				GO	GO:0007613	memory
Aop:13	Event:381	decreased	PR	PR:000004716	brain-derived neurotrophic factor	GO	GO:0010467	gene expression
Aop:13	Event:381	decreased	PR	PR:000004716	brain-derived neurotrophic factor	GO	GO:0046903	secretion
Aop:13	Event:382	abnormal	GO	GO:0030425	dendrite	GO	GO:0048813	dendrite morphogenesis
Aop:13	Event:385	decreased	GO	GO:0045202	synapse	GO	GO:0007416	synapse assembly
Aop:13	Event:386	decreased				GO	GO:0099536	synaptic signaling
Aop:13	Event:383	decreased	CHEBI	CHEBI:14321	glutamate(1-)	GO	GO:0014047	glutamate secretion
Aop:13	Event:55	increased				GO	GO:0008219	cell death
Aop:14	Event:122	increased	PR	PR:000011406	glucocorticoid receptor	GO	GO:0004883	glucocorticoid receptor activity
Aop:14	Event:202	decreased	PR	PR:000001753	transcription factor NF-kappa-B subunit	GO	GO:0007249	I-kappaB kinase/NF-kappaB signaling
Aop:14	Event:152	decreased				GO	GO:0002534	cytokine production involved in inflammatory response
Aop:14	Event:168	decreased	CL	CL:0000542	lymphocyte			
Aop:14	Event:145	increased	PR	PR:000003292	NF-kappa-B inhibitor	GO	GO:0007252	I-kappaB phosphorylation
Aop:14	Event:323	increased				MESH	D004198	Disease Susceptibility
Aop:14	Event:403	increased	UBERON	UBERON:0002405	immune system	GO	GO:0044414	suppression of host defenses
Aop:15	Event:336	increased	CHEBI	CHEBI:16991	deoxyribonucleic acid	MESH	D009154	mutation
Aop:15	Event:97	increased	CHEBI	CHEBI:16991	deoxyribonucleic acid	GO	GO:0006305	DNA alkylation
Aop:15	Event:185	increased	CHEBI	CHEBI:16991	deoxyribonucleic acid	MESH	D009154	mutation
Aop:15	Event:155	functional change	CHEBI	CHEBI:16991	deoxyribonucleic acid	GO	GO:0006281	DNA repair
Aop:16	Event:351	increased				MESH	D009026	mortality
Aop:16	Event:12	decreased	PR	PR:000003626	acetylcholinesterase	GO	GO:0003990	acetylcholinesterase activity
Aop:16	Event:10	increased	CHEBI	CHEBI:15355	acetylcholine			
Aop:16	Event:445	increased				MP	MP:0001954	respiratory distress
Aop:16	Event:39	increased				MP	MP:0001393	ataxia
Aop:16	Event:39	increased				MP	MP:0001399	hyperactivity
Aop:16	Event:39	increased				MP	MP:0000753	paralysis
Aop:16	Event:360	decreased	PCO	PCO:0000001	population of organisms	PCO	PCO:0000008	population growth rate
Aop:17	Event:1392	increased				MP	MP:0003674	oxidative stress
Aop:17	Event:55	increased				GO	GO:0008219	cell death
Aop:17	Event:188	pathological	CL	CL:0000129	microglial cell	MP	MP:0001847	brain inflammation
Aop:17	Event:188	pathological	CL	CL:0000127	astrocyte	MP	MP:0001847	brain inflammation
Aop:17	Event:386	decreased				GO	GO:0099536	synaptic signaling
Aop:17	Event:341	decreased				GO	GO:0007612	learning
Aop:17	Event:341	decreased				GO	GO:0007613	memory
Aop:17	Event:1492	increased				GO	GO:0002263	cell activation involved in immune response
Aop:17	Event:1493	increased				GO	GO:0002526	acute inflammatory response
Aop:18	Event:227	increased	PR	PR:000013056	peroxisome proliferator-activated receptor alpha	GO	GO:0035357	peroxisome proliferator activated receptor signaling pathway
Aop:18	Event:406	decreased				MESH	D005298	fertility
Aop:18	Event:266	decreased	PR	PR:000015715	STAR	GO	GO:0010467	gene expression
Aop:18	Event:447	decreased	CHEBI	CHEBI:16113	cholesterol	GO	GO:0006839	mitochondrial transport
Aop:18	Event:413	decreased	CHEBI	CHEBI:17347	testosterone	GO	GO:0061370	testosterone biosynthetic process
Aop:18	Event:446	decreased	CHEBI	CHEBI:17347	testosterone			
Aop:18	Event:289	decreased	PR	PR:000016757	translocator protein	GO	GO:0010467	gene expression
Aop:18	Event:348	morphological change	UBERON	UBERON:0003135	male reproductive organ			
Aop:19	Event:27	decreased	PR	PR:000004191	androgen receptor	GO	GO:0004882	androgen receptor activity
Aop:19	Event:310	abnormal	GO	GO:1990909	Wnt signalosome	GO	GO:0016055	Wnt signaling pathway
Aop:19	Event:240	arrested	UBERON	UBERON:0003135	male reproductive organ	GO	GO:0032502	developmental process
Aop:19	Event:286	decreased	PR	PR:000004191	androgen receptor	GO	GO:0010468	regulation of gene expression
Aop:19	Event:337	decreased	MESH	D005298	fertility			
Aop:21	Event:18	increased	PR	PR:000003858	aryl hydrocarbon receptor	GO	GO:0004874	aryl hydrocarbon receptor activity
Aop:21	Event:944	increased	PR	PR:000003858	aryl hydrocarbon receptor	GO	GO:0046983	protein dimerization activity
Aop:21	Event:944	increased	PR	PR:000004303	aryl hydrocarbon receptor nuclear translocator	GO	GO:0046983	protein dimerization activity
Aop:21	Event:317	morphological change				MP	MP:0001544	abnormal cardiovascular system physiology
Aop:21	Event:317	abnormal	UBERON	UBERON:0004535	cardiovascular system	GO	GO:0072358	cardiovascular system development
Aop:21	Event:1269	increased	PR	PR:000013428	prostaglandin G/H synthase 2	GO	GO:0010467	gene expression
Aop:21	Event:947	increased				MP	MP:0008762	embryonic lethality
